Review #,Brand,Variety,Style,Country,Stars,Top_Ten_Y/N,Top_Ten_Year,Top_Ten_Rank,Top Ten
105,Indomie,Special Fried Curly Noodle,Pack,Indonesia,5,Y,2012,1,2012 #1
608,Koka,Spicy Black Pepper,Pack,Singapore,5,Y,2012,10,2012 #10
47,Indomie,Mi Goreng Jumbo Barbecue Chicken,Pack,Indonesia,5,Y,2012,2,2012 #2
392,Nissin,Yakisoba Noodles Karashi,Tray,Japan,5,Y,2012,3,2012 #3
13,Sapporo Ichiban,Chow Mein,Pack,Japan,5,Y,2012,4,2012 #4
434,Mi Sedaap,Kari Spesial,Pack,Indonesia,4.5,Y,2012,5,2012 #5
391,Myojo,Hyoubanya No Chukasoba Oriental,Pack,Japan,4.25,Y,2012,6,2012 #6
578,Nongshim,Shin Ramyun Black,Pack,South Korea,4.75,Y,2012,7,2012 #7
285,Doll,Artificial Chicken,Pack,Hong Kong,4.5,Y,2012,9,2012 #9
992,Prima Taste,Singapore Laksa La Mian,Pack,Singapore,5,Y,2013,1,2013 #1
1471,Mama,Instant Noodles Shrimp Creamy Tom Yum Flavour Jumbo Pack,Pack,Thailand,5,Y,2013,10,2013 #10
991,Prima Taste,Singapore Curry La Mian,Pack,Singapore,5,Y,2013,2,2013 #2
715,Indomie,Mi Goreng Rendang (Import),Pack,Indonesia,5,Y,2013,3,2013 #3
934,Nongshim,Jinjja Jinjja Flamin' Hot & Nutty,Pack,USA,5,Y,2013,4,2013 #4
31,Myojo,Ippeichan Yakisoba,Tray,Japan,4,Y,2013,6,2013 #6
823,Paldo,Kokomen Spicy Chicken,Pack,South Korea,5,Y,2013,9,2013 #9
1087,MyKuali,Penang White Curry Noodle,Pack,Malaysia,5,Y,2014,1,2014 #1
1302,Mama,Instant Noodles Yentafo Tom Yum Mohfai Flavour,Pack,Thailand,5,Y,2014,10,2014 #10
1330,Sapporo Ichiban,Otafuku Okonomi Sauce Yakisoba,Tray,Japan,5,Y,2014,4,2014 #4
1198,Samyang Foods,Maesaengyitangmyun Baked Noodle,Pack,South Korea,5,Y,2014,5,2014 #5
1183,Paldo,Cheese Noodle,Pack,South Korea,5,Y,2014,6,2014 #6
1350,Mamee,Chef Curry Laksa Flavour,Pack,Malaysia,5,Y,2014,7,2014 #7
1271,Prima Taste,Singapore Chilli Crab La Mian,Pack,Singapore,5,Y,2014,8,2014 #8
1308,Nongshim,Soon Veggie Noodle Soup,Pack,South Korea,5,Y,2014,9,2014 #9
1500,MyKuali,Penang Red Tom Yum Goong Noodle,Pack,Malaysia,5,Y,2015,1,2015 #1
1638,A-Sha Dry Noodle,Veggie Noodle Tomato Noodle With Vine Ripened Tomato Sauce,Pack,Taiwan,5,Y,2015,10,2015 #10
1585,CarJEN,Nyonya Curry Laksa,Pack,Malaysia,5,Y,2015,4,2015 #4
1508,Mamee,Chef Gold Recipe Mi Kari Seribu Rasa,Pack,Malaysia,5,Y,2015,6,2015 #6
1617,MyKuali,Penang Hokkien Prawn Noodle (New Improved Taste),Pack,Malaysia,5,Y,2015,7,2015 #7
1466,Mama,Oriental Style Instant Noodles Green Curry Flavour Jumbo Pack,Pack,Thailand,5,Y,2015,8,2015 #8
1521,Maruchan,Gotsumori Sauce Yakisoba,Tray,Japan,5,Y,2015,9,2015 #9
1947,Prima Taste,Singapore Laksa Wholegrain La Mian,Pack,Singapore,5,Y,2016,1,2016 #1
1964,MAMA,Instant Noodles Coconut Milk Flavour,Pack,Myanmar,5,Y,2016,10,2016 #10
1907,Prima Taste,Singapore Curry Wholegrain La Mian,Pack,Singapore,5,Y,2016,5,2016 #5
1689,Wugudaochang,Tomato Beef Brisket Flavor Purple Potato Noodle,Pack,China,5,Y,2016,7,2016 #7
1925,Prima,Juzz's Mee Creamy Chicken Flavour,Pack,Singapore,5,Y,2016,8,2016 #8
1828,Tseng Noodles,Scallion With Sichuan Pepper  Flavor,Pack,Taiwan,5,Y,2016,9,2016 #9
910,Paldo,Namja Ramyun,Bowl,South Korea,4.25,N,,,
734,Indomie,Mi Goreng Rasa Ayam Panggang Jumbo (Local),Pack,Indonesia,5,N,,,
332,Nongshim,Champong Oriental Noodles,Cup,South Korea,3.75,N,,,
45,Indomie,Mi Goreng Sate,Pack,Indonesia,5,N,,,
