"Review #","Brand","Variety","Style","Country","Stars","Top_Ten_Y/N","Top_Ten_Year","Top_Ten_Rank","Top Ten","Continent","Meat_Type","Spicy","Noodle_Type"
105,"Indomie","Special Fried Curly Noodle","Pack","Indonesia",5,"Y",2012,1,"2012 #1","Asia",NA,"No","Noodle"
608,"Koka","Spicy Black Pepper","Pack","Singapore",5,"Y",2012,10,"2012 #10","Asia",NA,"Yes",NA
47,"Indomie","Mi Goreng Jumbo Barbecue Chicken","Pack","Indonesia",5,"Y",2012,2,"2012 #2","Asia","Chicken","No","Mi"
392,"Nissin","Yakisoba Noodles Karashi","Tray","Japan",5,"Y",2012,3,"2012 #3","Asia",NA,"No","Noodle"
13,"Sapporo Ichiban","Chow Mein","Pack","Japan",5,"Y",2012,4,"2012 #4","Asia",NA,"No",NA
434,"Mi Sedaap","Kari Spesial","Pack","Indonesia",4.5,"Y",2012,5,"2012 #5","Asia",NA,"No",NA
391,"Myojo","Hyoubanya No Chukasoba Oriental","Pack","Japan",4.25,"Y",2012,6,"2012 #6","Asia",NA,"No",NA
578,"Nongshim","Shin Ramyun Black","Pack","South Korea",4.75,"Y",2012,7,"2012 #7","Asia",NA,"No","Ramyeon"
285,"Doll","Artificial Chicken","Pack","Hong Kong",4.5,"Y",2012,9,"2012 #9","Asia","Chicken","No",NA
992,"Prima Taste","Singapore Laksa La Mian","Pack","Singapore",5,"Y",2013,1,"2013 #1","Asia",NA,"No","Mi"
1471,"Mama","Instant Noodles Shrimp Creamy Tom Yum Flavour Jumbo Pack","Pack","Thailand",5,"Y",2013,10,"2013 #10","Asia","Seafood","No","Noodle"
991,"Prima Taste","Singapore Curry La Mian","Pack","Singapore",5,"Y",2013,2,"2013 #2","Asia",NA,"No","Mi"
715,"Indomie","Mi Goreng Rendang (Import)","Pack","Indonesia",5,"Y",2013,3,"2013 #3","Asia",NA,"No","Mi"
934,"Nongshim","Jinjja Jinjja Flamin' Hot & Nutty","Pack","United States",5,"Y",2013,4,"2013 #4","North America",NA,"Yes",NA
31,"Myojo","Ippeichan Yakisoba","Tray","Japan",4,"Y",2013,6,"2013 #6","Asia",NA,"No",NA
823,"Paldo","Kokomen Spicy Chicken","Pack","South Korea",5,"Y",2013,9,"2013 #9","Asia","Chicken","Yes",NA
1087,"MyKuali","Penang White Curry Noodle","Pack","Malaysia",5,"Y",2014,1,"2014 #1","Asia",NA,"No","Noodle"
1302,"Mama","Instant Noodles Yentafo Tom Yum Mohfai Flavour","Pack","Thailand",5,"Y",2014,10,"2014 #10","Asia",NA,"No","Noodle"
1330,"Sapporo Ichiban","Otafuku Okonomi Sauce Yakisoba","Tray","Japan",5,"Y",2014,4,"2014 #4","Asia",NA,"No",NA
1198,"Samyang Foods","Maesaengyitangmyun Baked Noodle","Pack","South Korea",5,"Y",2014,5,"2014 #5","Asia",NA,"No","Noodle"
1183,"Paldo","Cheese Noodle","Pack","South Korea",5,"Y",2014,6,"2014 #6","Asia",NA,"No","Noodle"
1350,"Mamee","Chef Curry Laksa Flavour","Pack","Malaysia",5,"Y",2014,7,"2014 #7","Asia",NA,"No",NA
1271,"Prima Taste","Singapore Chilli Crab La Mian","Pack","Singapore",5,"Y",2014,8,"2014 #8","Asia","Seafood","Yes","Mi"
1308,"Nongshim","Soon Veggie Noodle Soup","Pack","South Korea",5,"Y",2014,9,"2014 #9","Asia",NA,"No","Noodle"
